FullName,FirstName,LastName,Gender,Status,Region,Ethnicity,Occupation_primary,MaritalStatus,Spouse_FirstName,Spouse_Last Name,Spouse_Gender,Spouse_RaceEthnicity,Spouse_Birthday,Spouse_Age,Spouse_Occupation,Street,City,State,ZipCode,Religion_Christian,Religion_Muslim,Religion_Jewish,Religion_Hindu,Religion_Buddhist,Religion_Other,Religion_Spiritual,Religion_None,RoleofFaith_primary,RoleofFaith_spouse,Alcohol_Occasional,Alcohol_Responsible,Alcohol_Irresponsible,DrugUse,Marijuana_Occasional,Marijuana_Regular,Cigarettes_Occasional,Cigarettes_Regular,Vaping_Occasional,Vaping_Regular,JobRetentionChallenges,DayOff_primary,DayOff_spouse,FavoritPlace_primary,FavoritePlace_spouse,Personality_primary,Personality_spouse,SocialStyle_Introverted,SocialStyle_Extraverted,SocialStyle_Both,SadnessResponse_primary,SadnessResponse_spouse,AngerResponse_primary,Anger Response_spouse,Continuing Education,Supports_Holidays,Supports_Job,Supports_Parenting,Supports_Medical,Supports_Legal,Supports_Budgeting,Supports_MentalHealth,Supports_Resources,Supports_Social,Multiple_Matches,Match_Housing,Emergency_Housing,CriminalHistory_Arrested,CriminalHistory_Jail,CriminalHistory_CurrentProbation,Children_Pregnant,Children_Custody1,Children_Custodymultiple,Children_Kincare1,Children_Kincaremultiple,Children_Welfare1,Children_Welfaremultiple,Bio_Important,Bio_Difficult,Sexuality_Heterosexual,Sexuality_Homosexual,Sexuality_Bisexual,Gender_Male,Gender_Female,Gender_Transgender,Gender_Non_binary,Latitude ,Logatitude
Diane Ott,Diane,Ott,Female,Completed Training,13,,Health care translator,,,,,,,,,1719 Layman Court,Lawrenceville,Georgia,30043,5,3,4,5,4,2,3,3,Exclusive,,5,1,5,1,1,4,3,2,4,4,3,Shop,,None,,Adventurous,,3,5,5,Advice,,Reconcile,,5,5,5,5,4,5,4,2,4,4,,checked,checked,3,1,0,2,4,5,5,5,4,5,2,2,5,5,1,4,5,0,0,,
Diane Smith,Diane,Smith,Female,Interested,14,,Cartographer,,,,,,,,,1073 Green St,Roswell,Georgia,30075,5,5,4,5,3,3,4,3,Inclusive,,5,4,0,0,3,1,0,5,1,3,4,Movie/Play,,None,,Reserved,,5,5,5,Listen,,Withdraw,,5,1,5,4,5,4,5,5,4,4,checked,checked,,2,2,2,5,3,3,2,1,5,2,1,3,5,4,5,5,4,5,4,34.027813,-84.35975
Dollie Haldeman,Dollie,Haldeman,Female,FSS,4,,Photographic retoucher,Married,,,,White,,,,236 Newnan Crossing Bypass,Newnan,Georgia,30265,5,3,0,3,4,3,4,4,Exclusive,,5,4,1,3,5,5,3,3,5,5,4,Movie/Play,,Pampered,,Shy,,5,4,4,Alone,,Process,,4,5,5,5,5,5,4,5,4,5,,checked,,0,1,0,0,4,2,5,5,2,3,4,3,5,4,5,5,3,0,1,33.390809,-84.764787
Don & Bertha Howard,Don,Howard,Male,Awaiting Training,13,,Word processor,Married,Bertha,,,,9/25/1957,64,Plumber,2451 Cobb Pkwy SE,Smyrna,Georgia,30080,5,1,3,5,3,3,0,5,Exclusive,Exclusive,5,5,5,5,3,3,1,4,5,0,4,Home,Friends/Family,New,Pampered,Friendly,Shy,4,4,5,Alone,Advice,Withdraw,Reconcile,5,4,4,4,5,4,5,4,4,5,checked,,,2,0,0,0,0,3,5,5,5,4,4,0,5,2,4,4,5,4,4,33.893095,-84.475792
Don & Kenyetta Palumbo,Kenyetta,Palumbo,Female,On Hold,7,,"Textile winding, twisting, and drawing out machine operator",Married,Don,,,,5/27/1988,33,Patient educator,491 Lewiston Rd,Grovetown,Georgia,30813,5,4,4,3,1,3,1,3,Inclusive,Inclusive,5,2,5,5,0,3,3,3,3,0,5,Shop,Friends/Family,None,Nature,Solitary,Solitary,4,3,5,Listen,Listen,Reconcile,React,2,5,4,5,4,5,4,4,1,4,,,,1,1,0,4,4,2,0,2,1,1,5,5,5,4,5,4,4,4,2,33.486039,-82.20023
Donald & Bertha Anderson,Donald,Anderson,Male,FSS,5,,Computer technology trainer,Married,Bertha,,,White,7/5/1993,28,Rodbuster,4653 Smithfield Avenue,Loganville,Georgia,30052,5,4,4,4,4,3,3,3,Unimportant,Exclusive,5,4,5,0,4,2,0,4,4,4,4,Movie/Play,Friends/Family,Event,New,Reserved,Solitary,5,3,4,Advice,Advice,React,Withdraw,3,5,5,5,5,5,4,4,4,5,,checked,checked,4,4,3,4,1,0,5,5,5,3,3,5,5,3,5,4,4,0,1,,
Donald & Julie Hurley,Julie,Hurley,Female,OOS,14,,Roustabout,Married,Donald,,,,8/4/1970,51,Immigration and Naturalization Service (INS) inspector,1042 W College Ave,Decatur,Georgia,30030,5,4,0,3,0,0,5,1,Exclusive,Inclusive,5,4,4,1,0,3,5,2,3,4,3,Home,Friends/Family,Pampered,Event,Solitary,Friendly,5,3,3,Listen,Listen,Withdraw,Withdraw,3,3,5,4,5,4,5,4,5,3,checked,checked,checked,2,3,5,0,0,5,0,1,5,0,2,3,5,5,4,4,2,4,0,33.764843,-84.310708
Donald & Lindsay Barrentine,Lindsay,Barrentine,Female,Interested,2,,Packaging and filling machine tender,Married,Donald,,,,6/30/1993,28,Teacher aide,30 Industrial Park Rd,Dawsonville,Georgia,30534,5,3,5,3,4,5,5,4,Unimportant,Inclusive,5,5,0,5,4,5,5,3,3,3,3,Shop,Movie/Play,None,Event,Solitary,Shy,1,4,4,Advice,Advice,Reconcile,Withdraw,4,4,0,4,5,5,4,4,5,5,checked,,checked,0,3,3,1,3,0,1,5,5,1,1,5,5,5,4,3,5,0,1,34.361047,-84.047882
Donald Conn,Donald,Conn,Male,Not Moving Forward,13,,Desktop publisher,,,,,,,,,641 Mt Zion Rd,Jonesboro,Georgia,30236,5,5,5,4,5,4,5,4,Exclusive,,5,4,5,1,3,4,3,1,4,2,1,Home,,Event,,Reserved,,3,3,3,Alone,,Reconcile,,3,5,4,4,4,4,1,4,5,4,checked,checked,,1,3,2,4,5,0,2,1,5,2,0,3,5,5,5,5,5,1,3,33.572685,-84.369771
Donna Brown,Donna,Brown,Female,Completed Training,13,,Gemologist,Single,,,,,,,,794 Layman Court,Auburn,Georgia,30011,5,0,5,4,4,4,4,5,Exclusive,,5,5,1,0,3,2,4,5,4,0,4,Read/Walk,,Nature,,Reserved,,5,4,4,Advice,,Withdraw,,3,5,3,4,5,4,4,5,5,5,,,,1,0,1,4,4,5,1,0,3,3,5,5,5,1,4,5,0,1,0,,
Doris Cain,Doris,Cain,Female,Interested,5,,Podiatric medical assistant,,,,,,,,,4640 Lamb Ave,Union Point,Georgia,30669,1,3,2,4,5,5,5,5,Unimportant,,5,5,3,0,5,5,1,4,4,1,0,Home,,New,,Solitary,,4,4,4,Advice,,React,,3,4,5,4,4,5,5,4,0,4,,,,1,0,2,5,4,3,2,3,0,5,4,4,5,5,4,1,5,2,1,33.615355,-83.080281
Doris Smith,Doris,Smith,Female,Completed Training,4,,Letterpress operator,Single,,,,,,,,11 N Court Square,Newnan,Georgia,30263,5,3,3,5,4,2,3,5,Inclusive,,5,4,5,3,0,5,1,1,5,3,5,Read/Walk,,None,,Adventurous,,3,4,5,Listen,,Process,,5,5,5,4,5,5,4,4,5,4,checked,,,4,1,0,5,4,2,5,4,0,0,3,0,5,2,0,5,4,0,4,33.375389,-84.799651
Dorothy Barcus,Dorothy,Barcus,Female,Interested,14,,Publicity agent,Single,,,,,,,,519 East Paces Ferry Rd NE,Atlanta,Georgia,30305,5,3,4,3,4,5,5,3,Exclusive,,5,2,5,5,3,5,5,3,5,2,5,Friends/Family,,Event,,Shy,,4,3,5,Alone,,React,,3,5,5,4,4,5,0,5,4,4,,,checked,0,0,1,4,3,4,4,1,5,4,0,0,5,0,4,5,4,0,1,33.838437,-84.370818
Dorothy Donahoe,Dorothy,Donahoe,Female,Awaiting Training,14,,Producer,Single,,,,,,,,30 Old Ivy Rd NE,Atlanta,Georgia,30342,5,5,4,3,4,3,3,3,Exclusive,,5,2,0,1,3,4,5,2,0,5,3,Home,,Pampered,,Solitary,,4,4,3,Advice,,Process,,4,4,4,4,3,5,4,4,5,5,,checked,checked,3,3,1,1,4,2,5,4,5,2,4,4,5,5,3,4,5,5,1,33.854689,-84.38168
Dorothy Manes,Dorothy,Manes,Female,Not Moving Forward,14,,Press operator,,,,,,,,,817 W Peachtree St NW,Atlanta,Georgia,30308,5,3,4,5,5,4,5,1,Exclusive,,5,3,5,2,1,4,1,5,5,5,3,Friends/Family,,None,,Solitary,,4,2,4,Advice,,Process,,4,5,5,5,1,4,1,4,5,4,checked,,checked,0,0,2,2,3,3,1,4,1,1,1,1,5,4,5,1,5,0,3,33.777327,-84.386981
Dorothy Whitman,Dorothy,Whitman,Female,Completed Training,13,,Limousine driver,Single,,,,,,,,6590 Tara Blvd,Jonesboro,Georgia,30236,5,3,5,3,5,1,5,0,Exclusive,,5,3,1,1,4,1,1,4,3,1,4,Home,,Nature,,Friendly,,5,2,3,Alone,,Reconcile,,1,5,5,2,5,4,3,5,4,4,checked,checked,,4,1,0,4,1,3,0,1,1,3,0,5,5,5,1,5,0,1,1,33.57466,-84.36999
Douglas & Kay Taylor,Douglas,Taylor,Male,OOS,13,,Portfolio manager,Married,Kay,,,,11/30/1960,61,EEO officer,3455 Peachtree Industrial Blvd #880,Duluth,Georgia,30096,5,0,4,1,3,3,4,0,Unimportant,Inclusive,5,5,0,1,3,2,3,1,4,3,3,Read/Walk,Home,None,Pampered,Friendly,Shy,3,5,3,Alone,Alone,React,React,5,5,4,5,4,5,4,4,0,5,,checked,,0,1,4,3,1,2,5,2,0,3,3,4,5,1,5,5,0,1,2,34.006193,-84.171255
Dwight & Joyce Fagan,Dwight,Fagan,Male,Interested,11,,Physical oceanographer,Married,Joyce,,,,2/20/1972,49,Ambulance attendant,1021 2nd St W,Tifton,Georgia,31794,5,4,5,4,4,2,3,5,Unimportant,Exclusive,5,4,3,0,1,2,4,5,0,4,4,Read/Walk,Shop,Event,Event,Friendly,Friendly,5,5,4,Advice,Alone,React,Process,3,4,4,4,4,5,4,5,4,5,,checked,,4,5,1,4,4,4,3,3,3,4,3,3,5,5,4,5,5,0,3,31.458308,-83.528717
Earline Foret,Earline,Foret,Female,Awaiting Training,2,,Paper goods operator,Single,,,,,,,,60 Crossroads Blvd,Dawsonville,Georgia,30534,5,4,4,4,5,5,1,2,Exclusive,,2,5,3,1,0,0,3,3,3,2,4,Friends/Family,,New,,Reserved,,1,3,4,Advice,,Withdraw,,5,4,4,5,4,5,4,4,5,4,,checked,,4,1,4,5,4,2,0,3,3,5,4,3,5,4,0,4,1,0,5,34.352457,-84.046114
Ebony Parker,Ebony,Parker,Female,Completed Training,5,,Content editor,Single,,,,White,,,,1750 Dry Pond Rd,Jefferson,Georgia,30549,5,1,5,4,5,0,3,5,Unimportant,,1,5,1,0,2,3,4,4,5,2,3,Home,,Pampered,,Reserved,,5,5,4,Alone,,Process,,4,1,5,4,5,5,4,5,4,5,,checked,,5,4,2,5,4,3,2,0,5,0,3,1,5,3,1,4,4,2,1,34.186033,-83.590703
Edgar & Betty Mobley,Betty,Mobley,Female,Interested,7,,Job analysis manager,Married,Edgar,,,,12/1/1989,32,In home service professional,4241 Washington Rd,Evans,Georgia,30809,5,3,5,5,5,3,4,3,Inclusive,Unimportant,5,4,5,3,4,0,1,2,5,5,2,Read/Walk,Read/Walk,Pampered,New,Adventurous,Shy,5,5,4,Listen,Advice,Process,Withdraw,3,5,5,4,4,5,4,4,5,5,checked,,checked,5,1,3,4,0,4,0,1,5,3,2,5,5,2,4,4,4,2,0,33.527131,-82.120824
Edna Naylor,Edna,Naylor,Female,Interested,10,,Land agent,Single,,,,,,,,523 W Shotwell St,Bainbridge,Georgia,39819,5,1,5,0,4,4,5,5,Exclusive,,4,5,0,0,2,1,4,0,5,5,4,Shop,,None,,Reserved,,4,0,3,Listen,,Process,,3,4,5,4,5,1,2,4,5,4,checked,,,4,3,1,4,4,5,5,2,3,1,0,1,5,3,0,5,5,0,1,30.903745,-84.581151
Edward & Charlotte Ware,Edward,Ware,Male,Interested,8,,Photojournalist,Married,Charlotte,,,,2/25/1993,28,Medical laboratory technologist,991 2nd St,Unadilla,Georgia,31091,5,3,3,5,3,3,5,4,Unimportant,Unimportant,2,2,1,0,5,5,3,1,3,5,4,Read/Walk,Movie/Play,Event,Nature,Adventurous,Friendly,1,5,3,Advice,Listen,Withdraw,Process,0,1,5,5,4,5,5,4,5,5,,checked,checked,4,2,4,3,5,3,3,4,5,4,3,2,5,2,4,4,0,3,2,32.259807,-83.746205
Edward & Jackie Tolbert,Edward,Tolbert,Male,Interested,13,,Power dispatcher,Married,Jackie,,,,5/12/1992,29,Laundry and dry_cleaning worker,2201 Alexander Drive,Suwanee,Georgia,30024,5,3,4,4,3,4,5,3,Inclusive,Unimportant,5,1,0,3,5,5,4,5,4,3,5,Shop,Shop,Nature,None,Solitary,Reserved,5,4,5,Advice,Advice,Withdraw,Withdraw,3,5,4,4,3,5,5,5,5,5,checked,,,2,1,0,5,1,0,5,4,2,3,3,2,5,4,5,5,5,1,4,,
Edward & Marjorie Yoho,Marjorie,Yoho,Female,Interested,4,,"Forest, conservation, and logging worker",Married,Edward,,,,7/24/1966,55,Instructional specialist,1164 GA_42,Jackson,Georgia,30233,5,5,3,3,4,5,3,3,Inclusive,Exclusive,5,5,1,0,3,0,5,4,5,4,4,Movie/Play,Read/Walk,Nature,Event,Solitary,Shy,3,4,5,Listen,Advice,Withdraw,React,5,5,5,4,5,5,5,5,5,5,,,checked,1,5,4,4,3,4,3,4,1,3,1,0,5,4,5,4,4,4,5,33.304564,-83.982053
Edward & Mary Davis,Edward,Davis,Male,FSS,,,Veterinary technician,Married,Mary,,Female,,9/1/1965,56,Credentials specialist,4140 Lynn Ogden Lane,Dallas,Texas,75001,5,3,3,3,3,3,2,4,Inclusive,Inclusive,5,5,1,1,0,3,3,5,0,5,3,Friends/Family,Shop,Event,New,Reserved,Shy,4,5,0,Alone,Alone,Reconcile,Reconcile,3,4,4,4,4,4,5,5,4,5,,checked,checked,0,0,4,3,0,2,0,2,1,1,1,5,5,5,5,4,5,1,3,,
Edward & Pauline Horner,Edward,Horner,Male,OOS,9,,Choke setter,Married,Pauline,,,,8/6/1970,51,Courier,340 Northview Dr,Jesup,Georgia,31546,5,5,0,4,0,0,3,0,Inclusive,Inclusive,5,4,0,0,1,4,4,3,3,3,5,Shop,Shop,Event,Pampered,Adventurous,Adventurous,4,4,0,Alone,Advice,Process,Reconcile,1,5,5,4,5,2,2,5,5,5,,checked,,2,2,1,3,3,2,5,3,4,0,3,4,5,2,4,2,4,2,1,31.596757,-81.842146
Edward Krieg & Sandra Warman,Edward,Krieg,Male,Interested,2,,Shipping clerk,Married,Sandra,Warman,,,1/15/1991,31,Loan closer,3885 Mundy Mill Rd #104,Oakwood,Georgia,30566,5,4,3,3,5,4,5,5,Inclusive,Unimportant,2,0,3,2,5,3,5,3,5,4,5,Movie/Play,Read/Walk,None,Event,Reserved,Friendly,4,5,5,Advice,Advice,Process,Process,5,2,4,5,5,4,5,0,4,3,,checked,checked,0,1,5,0,4,0,3,2,0,3,4,2,5,0,4,5,0,2,2,34.233332,-83.874028
Edward Nunez & Brenda Fletcher,Edward,Nunez,Male,Interested,12,,Process pipeline drafter,Married,Brenda,Fletcher,,,8/2/1978,43,Human resources coordinator,7222 GA_21,Port Wentworth,Georgia,31407,5,4,4,3,4,4,1,5,Unimportant,Exclusive,5,5,2,5,1,1,3,0,3,3,4,Shop,Read/Walk,New,New,Friendly,Solitary,5,0,4,Alone,Advice,React,React,5,4,4,5,2,1,2,5,4,4,checked,,checked,4,5,1,5,4,2,3,5,3,5,3,4,5,1,5,4,1,2,0,32.197637,-81.196046
Elaine Glenn,Elaine,Glenn,Female,Not Moving Forward,8,,ESL teacher,Single,,,,,,,,1515 E Union St,Vienna,Georgia,31092,5,4,2,5,4,5,5,5,Exclusive,,5,4,1,1,4,1,4,3,4,5,1,Shop,,Pampered,,Friendly,,5,4,5,Advice,,Withdraw,,3,5,5,5,4,2,4,5,4,5,,,checked,0,4,2,4,3,5,0,4,1,2,1,0,5,5,1,5,4,1,4,32.087033,-83.765848
Elaine Marsh,Elaine,Marsh,Female,Awaiting Training,2,,Cleaner,Married,,,,,,,,5466 McEver Rd,Flowery Branch,Georgia,30542,5,3,5,5,5,5,5,4,Unimportant,,5,2,0,0,0,5,3,1,5,3,1,Home,,Pampered,,Reserved,,5,5,4,Alone,,Withdraw,,5,5,4,5,5,3,4,4,5,1,,checked,,0,0,1,3,4,4,3,1,3,3,4,1,5,5,4,4,1,2,3,34.199803,-83.92269
Eleanor Cooper,Eleanor,Cooper,Female,Interested,3,,Local controller,Single,,,,,,,,7060 Concourse Pkwy,Douglasville,Georgia,30134,5,3,3,4,0,3,1,1,Inclusive,,5,2,3,1,4,5,5,5,1,4,3,Shop,,New,,Solitary,,3,2,2,Alone,,Process,,5,5,4,0,4,0,5,5,4,4,checked,checked,,5,2,1,1,1,1,5,3,3,3,0,3,5,2,4,3,1,0,2,33.72948,-84.75975
Elena Harrison,Elena,Harrison,Female,Interested,6,,Regional planner,,,,,,,,,401 General Courtney Hodges Blvd,Perry,Georgia,31069,5,5,5,5,5,5,1,3,Inclusive,,5,5,1,1,3,5,4,4,5,5,2,Friends/Family,,Nature,,Adventurous,,4,5,5,Listen,,Process,,3,5,4,5,5,5,3,4,4,5,checked,,checked,0,5,1,2,2,4,1,5,2,2,5,3,5,0,4,3,5,1,3,32.449409,-83.747429
Elizabeth Coleman,Elizabeth,Coleman,Female,Interested,4,,Gynecologic sonographer,Single,,,,,,,,232 W 2nd St,Jackson,Georgia,30233,5,4,4,3,4,1,3,3,Exclusive,,5,5,5,2,1,0,3,3,4,5,4,Movie/Play,,New,,Adventurous,,4,5,5,Listen,,React,,3,1,5,4,5,4,4,4,5,4,,,checked,1,1,4,5,1,4,1,1,1,5,3,3,5,5,3,0,4,5,4,33.295381,-83.968845
Elizabeth Storey,Elizabeth,Storey,Female,Awaiting Training,6,,Nursing assistant,Single,,,,,,,,136 W Hancock St,Milledgeville,Georgia,31061,5,5,2,2,2,4,3,4,Inclusive,,5,3,5,3,1,1,3,1,5,4,5,Home,,Nature,,Solitary,,5,3,5,Alone,,Reconcile,,5,4,5,5,5,4,2,4,0,4,checked,checked,checked,4,5,3,1,4,1,1,5,0,5,2,4,5,5,0,0,4,0,1,33.08076,-83.228182
Elwood & Maria Bussey,Elwood,Bussey,Male,FSS,11,African American,Chief financial officer,Married,Maria,,,Black/African American,10/2/1967,54,Conservation scientist,795 Aubrey Paulk Rd,Ambrose,Georgia,31512,5,4,4,5,3,2,3,1,Unimportant,Exclusive,5,5,2,0,5,2,2,2,1,5,4,Friends/Family,Movie/Play,Nature,New,Friendly,Reserved,4,1,3,Alone,Advice,Reconcile,Process,5,5,5,4,4,4,4,5,5,4,checked,,checked,4,0,0,4,5,2,3,1,3,4,0,3,5,5,0,4,5,5,5,31.514085,-83.041948
Emilio & Dale Stem,Dale,Stem,Female,Certified,1,,Retail buyer,Married,Emilio,,,White,3/31/1971,50,Tool grinder,150 Riverstone Pkwy,Canton,Georgia,30114,5,4,4,5,3,3,2,1,Unimportant,Inclusive,5,4,5,3,3,4,0,4,3,0,3,Read/Walk,Movie/Play,Event,Nature,Friendly,Shy,1,3,3,Alone,Alone,Process,Withdraw,0,4,5,5,5,4,4,4,4,4,checked,,checked,1,1,0,1,1,1,4,4,2,0,4,2,5,1,4,5,5,5,5,34.243436,-84.490855
Emma Strickland,Emma,Strickland,Female,Interested,14,,General maintenance and repair worker,Single,,,,,,,,992 Virginia Ave NE,Atlanta,Georgia,30306,5,5,5,5,1,5,5,3,Unimportant,,5,3,2,1,5,5,5,4,4,5,3,Home,,None,,Adventurous,,3,3,5,Listen,,Process,,5,5,3,5,5,5,5,5,5,4,checked,,checked,1,1,4,2,3,2,3,0,2,5,1,2,5,5,4,4,5,3,1,33.782426,-84.354918
Eric & Pamela Martin,Pamela,Martin,Female,Matched,7,,Music conductor,Married,Eric,,,White,4/18/1957,64,Executive assistant,230 Meridian Dr,Grovetown,Georgia,30813,5,4,4,5,3,5,5,4,Inclusive,Inclusive,5,5,1,1,2,3,5,5,1,0,4,Movie/Play,Movie/Play,None,Pampered,Adventurous,Shy,2,3,4,Alone,Advice,Withdraw,Withdraw,5,4,4,5,5,4,4,5,5,4,,,checked,1,4,0,2,3,2,3,2,3,0,0,3,5,4,5,4,2,1,3,33.477752,-82.19817
Erik & Holly Brothers,Holly,Brothers,Female,Matched_Current,13,Mixed Race,Cash manager,Married,Erik,,Male,White,8/10/1961,60,Semiconductor assembler,2856 Fowler Avenue,Duluth,Georgia,30097,5,3,3,5,4,4,1,4,Exclusive,Inclusive,5,4,0,0,4,3,4,5,4,4,4,Friends/Family,Read/Walk,Event,None,Reserved,Solitary,4,3,3,Alone,Alone,Process,React,3,5,5,5,4,4,5,4,4,4,,checked,checked,5,0,2,3,1,1,4,1,0,2,3,4,5,5,0,5,4,1,5,,
Erik & Jennifer Miller,Jennifer,Miller,Female,Completed Training,1,,Steamfitter,Married,Erik,,,White,7/14/1970,51,Real estate agent,100 Rhythm Dr,Dalton,Georgia,30721,5,4,0,3,4,4,3,4,Inclusive,Unimportant,5,4,5,4,1,0,3,5,5,5,0,Movie/Play,Shop,Pampered,Pampered,Solitary,Shy,4,3,5,Advice,Listen,Reconcile,Reconcile,3,4,4,5,4,4,4,3,4,5,checked,checked,,3,5,0,3,1,0,4,5,3,5,2,3,5,4,5,4,4,0,0,34.762097,-84.930636
Esperanza Curry,Esperanza,Curry,Female,Interested,13,,Weaving machine operator,,,,,,,,,2606 George Busbee Pkwy NW,Kennesaw,Georgia,30144,5,3,3,2,5,4,3,5,Exclusive,,5,0,1,1,3,3,4,5,2,4,2,Shop,,Nature,,Adventurous,,5,4,4,Advice,,Process,,2,2,4,5,1,4,5,2,3,5,checked,checked,checked,1,4,0,4,4,0,1,1,1,3,4,5,5,5,4,5,0,3,1,34.013987,-84.565661
Eugene & Joanne Robertson,Joanne,Robertson,Female,Interested,2,,Glass installer,Married,Eugene,,,,8/13/1988,33,Financial investigator,5900 Spout Springs Rd # E5,Flowery Branch,Georgia,30542,5,4,4,3,2,3,3,4,Inclusive,Unimportant,5,5,0,4,5,4,5,1,0,0,3,Home,Shop,New,Event,Adventurous,Reserved,5,3,3,Alone,Listen,Process,Reconcile,5,5,5,5,4,4,4,4,5,5,,,checked,1,4,0,4,3,5,1,5,4,4,5,4,5,4,5,4,3,1,1,34.176256,-83.910456
Eula Plemmons,Eula,Plemmons,Female,FSS,13,Asian,Shoe machine tender,Married,,,,,,,,1601 Cumberland Mall,Atlanta,Georgia,30339,5,3,5,2,4,3,5,5,Unimportant,,5,5,1,0,4,2,4,2,2,5,3,Movie/Play,,Pampered,,Reserved,,4,3,4,Listen,,React,,4,3,4,4,4,4,4,3,5,4,,checked,,1,3,4,3,2,4,0,2,0,5,2,1,5,5,5,1,4,3,5,33.880783,-84.467716
Eva Birnbaum,Eva,Birnbaum,Female,Interested,1,,Rolling machine tender,Single,,,,,,,,500 Highland Crossing Suite E 110_111,Ellijay,Georgia,30540,5,5,3,3,5,3,4,0,Inclusive,,5,1,0,1,3,2,2,5,4,2,3,Read/Walk,,None,,Solitary,,4,0,3,Alone,,Withdraw,,3,5,4,4,4,5,4,5,4,4,,,,2,0,1,3,4,3,3,0,2,5,0,0,5,4,4,5,4,3,0,34.662559,-84.486737
Evan & Margarita Tucker,Evan,Tucker,Male,Awaiting Training,5,,Office aide,Married,Margarita,,,,12/7/1972,49,Environmental scientist,4988 Alexander Drive,Athens,Georgia,30601,5,5,5,3,3,5,4,1,Inclusive,Exclusive,5,0,5,4,0,2,5,4,4,4,4,Home,Read/Walk,New,Pampered,Friendly,Reserved,5,2,3,Alone,Alone,Reconcile,React,3,4,5,5,4,4,5,4,4,5,checked,,,5,2,3,1,3,2,3,4,2,3,4,0,5,4,4,5,4,1,0,,
Evan Gore,Evan,Gore,Male,Awaiting Training,2,,Nuclear power reactor operator,,,,,,,,,2700 Old Winder Hwy,Braselton,Georgia,30517,5,4,3,4,0,2,5,5,Inclusive,,5,5,0,3,0,3,0,3,4,0,3,Shop,,New,,Friendly,,3,4,3,Listen,,Process,,4,4,4,5,5,5,5,5,5,5,checked,,,4,0,4,3,1,0,0,0,3,2,1,4,5,2,0,3,2,2,2,34.121406,-83.827914
Evelyn Johnson,Evelyn,Johnson,Female,Interested,11,,Labor economist,,,,,,,,,260 E Washington Ave,Ashburn,Georgia,31714,5,5,3,4,4,3,5,4,Inclusive,,5,3,0,1,4,2,4,5,4,5,3,Home,,Pampered,,Shy,,4,5,4,Listen,,React,,3,5,5,1,5,5,4,5,4,5,,checked,checked,5,3,5,2,3,5,2,2,5,3,4,3,5,5,5,5,4,0,3,31.706668,-83.650657
Evelyn Mack,Evelyn,Mack,Female,FSS,14,,"Painting, coating, and decorating worker",,,,,,,,,299 North Highland Avenue Northeast,Atlanta,Georgia,30307,5,5,3,4,4,4,5,4,Unimportant,,5,5,0,5,2,2,3,2,5,3,4,Shop,,New,,Reserved,,3,5,2,Listen,,Process,,5,4,4,5,4,4,4,5,4,5,checked,checked,,5,1,2,1,3,1,3,3,4,4,3,5,5,4,4,4,4,3,1,33.762654,-84.358261
Fabian Lewis & Sarah Ryder,Fabian,Lewis,Male,Interested,12,,Workforce development specialist,Married,Sarah,Ryder,,,4/2/1993,28,Telephone station repairer,147 Traders Way,Pooler,Georgia,31322,5,1,2,5,3,5,0,5,Exclusive,Inclusive,2,5,2,4,4,4,2,2,4,3,4,Shop,Home,None,New,Reserved,Solitary,4,2,3,Alone,Listen,React,Withdraw,3,2,5,0,5,5,4,5,5,3,checked,checked,,1,0,1,1,2,4,3,3,4,3,1,4,5,5,5,4,4,5,0,32.138774,-81.253131
Fabiola Bohn,Fabiola,Bohn,Female,Interested,1,,Water and wastewater treatment plant and system operator,,,,,,,,,50 Biscuit Way,Ringgold,Georgia,30736,5,4,3,5,2,5,4,5,Unimportant,,5,4,1,3,5,3,3,5,5,3,5,Read/Walk,,Nature,,Friendly,,5,4,5,Listen,,React,,3,5,5,4,4,5,5,5,5,5,checked,,checked,0,0,3,3,5,3,3,4,3,4,2,0,5,4,5,4,0,1,4,34.911646,-85.129014
Felix & Maxine Benedetto,Maxine,Benedetto,Female,Awaiting Training,10,,Gerontologist,Married,Felix,,,White,1/20/1957,65,Computer software engineer,1800 Dothan Rd,Bainbridge,Georgia,39817,5,5,5,3,4,4,3,4,Inclusive,Inclusive,5,4,0,1,5,0,4,3,5,5,5,Home,Read/Walk,Nature,Event,Reserved,Adventurous,1,4,5,Listen,Listen,Process,Reconcile,2,5,5,5,5,4,5,4,4,4,,checked,checked,0,0,1,5,5,4,5,2,0,0,1,5,5,5,1,4,5,1,3,30.921536,-84.6031
Fernando Duggins,Fernando,Duggins,Male,Interested,2,,Press agent,,,,,,,,,3703 Mundy Mill Rd,Oakwood,Georgia,30566,4,4,3,4,4,3,4,3,Inclusive,,5,4,0,2,5,4,0,4,2,1,5,Shop,,New,,Friendly,,5,4,5,Listen,,Withdraw,,5,5,4,3,4,5,1,1,4,5,checked,checked,checked,3,1,1,4,5,2,4,3,4,5,3,4,5,5,5,5,4,0,5,34.228822,-83.868901
