FullName,FirstName,LastName,Street,City,State,ZipCode,Region,Birthday,Age,Race_Ethnicity,Religion,RoleofFaith,AlcoholUse,DrugUse,Smoking,JobRetentionChallenges,DayOff,FavoritePlace,Personality,SocialStyle,SadnessResponse,AngerResponse,EducationLevel,ContinuingEducation,SupportNeeds,LivingSituation,CriminalHistory,Children,Connections,BioRelationships,Sexuality,Gender,BiologicalGender,Latitude ,Logatitude
Flora Tuttle,Flora,Tuttle,1100 Creek Club Dr,Greensboro,Georgia,30642,5,10/18/1992,29,Black/African American,Christianity,Inclusive,Responsibly,None,None,checked,Home,Nature,Reserved,Both,Listen,Withdraw,"HS diploma in progress,Vocational/trade school certified",,"Medical,Resources,Budgeting,Mental Health",Independent,"Current Probation,Jail",None,,None,Bisexual,Male,Other,33.5759,-83.1826
Freda Brooks,Freda,Brooks,6518 GA_85,Riverdale,Georgia,30274,13,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.5726,-84.4125
Freddy Hunt,Freddy,Hunt,11190 Alpharetta Hwy,Roswell,Georgia,30076,14,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.0339,-84.3442
Gail Johnson,Gail,Johnson,1427 S Lumpkin St,Athens,Georgia,30605,5,3/28/1993,28,Hispanic/Latino (non_white),Buddhism,Inclusive,Responsibly,None,None,checked,Home,Event,Reserved,Extraverted,Self_Reliant,Reconcile,"HS diploma in progress,College degree",,"Job,Budgeting,Resources",Program,None,None,,Difficult,Homosexual,Female,Female,33.95,-83.3833
Garrett McElyea,Garrett,McElyea,1161 Pine St,Unadilla,Georgia,31091,8,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.2617,-83.7366
Gary Hand,Gary,Hand,2042 Mt Zion Rd,Morrow,Georgia,30260,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.5786,-84.34
Gary Hoffman,Gary,Hoffman,3415 Atlanta Hwy,Oakwood,Georgia,30542,2,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.2312,-83.8701
Gary Price,Gary,Price,217 1/2 W Broughton St,Savannah,Georgia,31401,12,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.0167,-81.1167
Gary Reyes,Gary,Reyes,1000 Peachtree Industrial Blvd #3,Suwanee,Georgia,30024,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.0575,-84.0666
George Morris,George,Morris,3732 Cedarcrest Rd a100,Acworth,Georgia,30101,13,6/3/1993,28,,Islam,Exclusive,Occasionally,Occasionally,None,checked,Read/Walk,Pampered,Adventurous,Introverted,Listen,Reconcile,GED completed,,"Job,Resources,Parenting,Legal",College,None,None,,Important,Bisexual,Male,Male,34.0628,-84.67
George Spear,George,Spear,101 S Main St,Ellijay,Georgia,30540,1,3/26/1993,28,,Christianity,Exclusive,Addicted,Regularly,"Occasional marijuana,Regular cigarettes",checked,Friends/Family,Nature,Friendly,Introverted,Self_Reliant,Reconcile,"HS diploma completed,College attending",,"Medical,Social,Holidays,Budgeting",Friend/Family,None,"Caring for 1,Multiple in kincare",,Important,Heterosexual,Male,Female,34.6947,-84.4836
George Tackitt,George,Tackitt,2240 Forest Pkwy,Morrow,Georgia,30260,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.5786,-84.34
George Thigpen,George,Thigpen,1347 Augusta W Pkwy,Augusta,Georgia,30909,7,8/19/1993,28,,Spiritual,Exclusive,None,Addicted,None,checked,Shop,Nature,Solitary,Both,Self_Reliant,Process,"HS diploma completed,College attending",,"Legal,Budgeting,Social,Job",Couch_Hopping,"Jail,Arrested",None,,None,Heterosexual,Female,Female,33.4667,-81.9667
Gerry Sheely,Gerry,Sheely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Gloria Hollowell,Gloria,Hollowell,256 Anderson Cir,Alto,Georgia,30510,2,5/1/1993,28,,Hinduism,Unimportant,Occasionally,Regularly,"Regular marijuana,Occasional cigarettes",,Read/Walk,Pampered,Shy,Introverted,Listen,Withdraw,HS diploma in progress,,"Mental Health,Resources,Medical,Parenting,Budgeting",Couch_Hopping,None,"Caring for multiple,1 in kincare,Multiple in welfare",,Difficult,Homosexual,Other,Male,34.4675,-83.5737
Greg Salas,Greg,Salas,5330 Brookstone Dr NW # 210,Acworth,Georgia,30101,13,4/13/1993,28,White,Buddhism,Exclusive,None,Addicted,None,checked,Movie/Play,None,Solitary,Extraverted,Self_Reliant,Withdraw,GED in progress,,Parenting,Homeless,None,None,,Difficult,Bisexual,Female,Other,34.0628,-84.67
Heather Ellington,Heather,Ellington,3615 Mundy Mill Rd,Oakwood,Georgia,30566,2,,,,,,,,,,,,,,,,,,,,,,,,,,Female,34.2312,-83.8701
Helen Turner,Helen,Turner,3913 River Pl Dr,Macon,Georgia,31210,6,7/20/1993,28,,Christianity,Inclusive,Responsibly,Regularly,"Occasional marijuana,Occasional cigarettes,Occasional vape",checked,Shop,None,Reserved,Extraverted,Listen,React,"HS diploma completed,College applying",,"Legal,Job,Medical",College,None,None,,None,Homosexual,Male,Male,32.8381,-83.6705
Herman Cousar,Herman,Cousar,7210 GA_85,Riverdale,Georgia,30274,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.5726,-84.4125
Herminia Sims,Herminia,Sims,2779 Mt Zion Pkwy,Jonesboro,Georgia,30236,13,6/19/1993,28,Unknown,Hinduism,Unimportant,Irresponsibly,Occasionally,Occasional marijuana,,Home,Pampered,Shy,Extraverted,Advice,Withdraw,HS diploma in progress,,"Job,Parenting,Legal,Medical,Resources,Budgeting",Program,Current Probation,"Caring for multiple,Multiple in kincare",,None,Homosexual,Other,Male,33.5244,-84.3542
Hiram Kelly,Hiram,Kelly,2831 E College Ave,Avondale Estates,Georgia,30002,14,10/10/1992,29,Black/African American,Hinduism,Exclusive,Occasionally,Occasionally,"Regular marijuana,Regular cigarettes,Regular vape",,Read/Walk,Pampered,Friendly,Both,Self_Reliant,React,None,checked,"Legal,Social,Medical",College,None,None,,Important,Heterosexual,Male,Male,33.7708,-84.265
Ian Hall,Ian,Hall,510 W Pike St,Lawrenceville,Georgia,30045,13,8/2/1993,28,Black/African American,Other,Unimportant,None,Regularly,None,,Read/Walk,New,Reserved,Both,Advice,Process,"HS diploma completed,College attending",,"Job,Mental Health,Parenting,Holidays",Couch_Hopping,"Arrested,Jail",None,,None,Bisexual,Male,Male,33.9531,-83.9925
Idella Rousseau,Idella,Rousseau,213 Clinton St,Macon,Georgia,31217,6,11/27/1992,29,,Christianity,Unimportant,Responsibly,None,None,,Home,Event,Reserved,Both,Listen,Reconcile,GED in progress,,"Parenting,Job,Mental Health,Medical,Legal",College,None,None,,Difficult,Homosexual,Other,Other,32.8381,-83.6705
Inez Cook,Inez,Cook,1041 Broadway,Columbus,Georgia,31901,8,5/26/1993,28,Black/African American,Islam,Exclusive,Responsibly,None,None,checked,Friends/Family,Event,Friendly,Extraverted,Advice,Withdraw,"HS diploma in progress,Vocational/trade school attending",,"Job,Mental Health,Medical,Resources,Holidays",Homeless,None,None,,Difficult,Heterosexual,Male,Other,32.4922,-84.9403
Jacquelyn Brook,Jacquelyn,Brook,70 W Broad St,Fairburn,Georgia,30213,14,6/30/1993,28,,Judaism,Unimportant,Addicted,None,None,,Shop,Pampered,Adventurous,Both,Advice,Withdraw,"HS diploma completed,Vocational/trade school attending",,Parenting,Homeless,None,None,,None,Heterosexual,Other,Male,33.5625,-84.5814
Jake Johnston,Jake,Johnston,4301 Washington Rd,Evans,Georgia,30809,7,10/25/1992,29,,Other,Exclusive,Occasionally,Regularly,Occasional marijuana,,Movie/Play,None,Friendly,Introverted,Listen,Withdraw,"GED in progress,College applying",,"Legal,Job,Budgeting,Resources",Couch_Hopping,None,None,,Difficult,Bisexual,Male,Female,33.5334,-82.1303
James Ford,James,Ford,715 N Main St,Hiawassee,Georgia,30546,2,3/21/1993,28,Unknown,Other,Exclusive,Responsibly,None,None,,Shop,Event,Reserved,Extraverted,Listen,Withdraw,HS diploma in progress,,"Holidays,Job,Social,Medical,Budgeting,Resources",College,None,None,,Important,Heterosexual,Male,Other,34.9494,-83.755
James Goebel,James,Goebel,412 GA_155 S,McDonough,Georgia,30253,4,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.447,-84.1464
James Lanigan,James,Lanigan,837 Highway 400 North,Dawsonville,Georgia,30534,2,4/21/1993,28,,Islam,Inclusive,None,Addicted,"Regular marijuana,Occasional cigarettes",,Shop,None,Solitary,Extraverted,Self_Reliant,React,"GED in progress,College degree",,"Social,Resources,Budgeting,Holidays",Program,None,"Caring for multiple,1 in kincare,Multiple in welfare",,None,Homosexual,Other,Female,34.4167,-84.1167
James Torres,James,Torres,1842 Piedmont Ave NE,Atlanta,Georgia,30324,14,10/26/1992,29,Black/African American,Hinduism,Inclusive,Addicted,None,None,checked,Read/Walk,Event,Shy,Extraverted,Self_Reliant,Process,"HS diploma completed,College attending",,"Mental Health,Resources,Social,Parenting,Job,Legal,Budgeting",Independent,None,None,,Important,Bisexual,Male,Other,33.7485,-84.3915
James Wesley,James,Wesley,620 S Davis St,Nashville,Georgia,31639,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.2069,-83.2467
Janet Chase,Janet,Chase,264 Commerce Dr,Peachtree City,Georgia,30269,4,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.399,-84.5706
Janet Smith,Janet,Smith,3348 Cobb Pkwy NW Ste 120,Acworth,Georgia,30101,13,5/30/1993,28,Black/African American,Judaism,Unimportant,Responsibly,None,None,,Friends/Family,Pampered,Solitary,Introverted,Listen,Withdraw,HS diploma completed,,Resources,Program,None,None,,Important,Homosexual,Female,Male,34.0628,-84.67
Janice Gould,Janice,Gould,3875 Washington Rd,East Point,Georgia,30344,14,9/5/1993,28,,Christianity,Unimportant,None,Addicted,None,checked,Friends/Family,Nature,Adventurous,Both,Listen,React,GED completed,,"Parenting,Holidays,Legal,Job,Resources,Medical",Independent,None,None,,Difficult,Homosexual,Female,Female,33.6761,-84.4514
Janine Sousa,Janine,Sousa,125 W Main St,Canton,Georgia,30114,1,4/30/1993,28,,Spiritual,Exclusive,Occasionally,None,None,checked,Movie/Play,None,Shy,Both,Listen,Reconcile,GED in progress,,"Holidays,Job,Mental Health,Parenting",Homeless,None,None,,Important,Heterosexual,Other,Male,34.2272,-84.4947
Jean Tevis,Jean,Tevis,50 E Lake Rd,McDonough,Georgia,30252,4,10/9/1992,29,,None,Exclusive,None,Occasionally,None,,Shop,Event,Adventurous,Both,Self_Reliant,Withdraw,"HS diploma completed,Vocational/trade school certified",,"Resources,Social,Holidays",Couch_Hopping,"Current Probation,Jail,Arrested",None,,Difficult,Homosexual,Female,Female,33.447,-84.1464
Jeffrey Davis,Jeffrey,Davis,219 W Wilson St,Villa Rica,Georgia,30180,4,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.7319,-84.92
Jeffrey James,Jeffrey,James,4113 Jimmy Lee Smith Pkwy,Hiram,Georgia,30141,3,11/15/1992,29,Black/African American,Buddhism,Inclusive,Occasionally,Occasionally,"Regular marijuana,Occasional cigarettes",,Home,Nature,Reserved,Introverted,Listen,Process,"HS diploma in progress,Vocational/trade school applying",,"Medical,Social,Job,Parenting",Independent,None,Caring for 1,,None,Homosexual,Female,Female,33.8778,-84.7615
Jennie Malone,Jennie,Malone,4352 Washington Rd #3938,Evans,Georgia,30809,7,12/21/1992,29,,Buddhism,Exclusive,Irresponsibly,None,None,,Shop,None,Shy,Extraverted,Advice,Withdraw,"GED in progress,Vocational/trade school certified",,Parenting,Independent,None,None,,None,Bisexual,Male,Female,33.5334,-82.1303
Jennifer Johnson,Jennifer,Johnson,350 E Howell St,Hartwell,Georgia,30643,2,11/19/1992,29,Unknown,Hinduism,Unimportant,Responsibly,Addicted,None,checked,Shop,Nature,Reserved,Introverted,Listen,Reconcile,HS diploma completed,,"Mental Health,Budgeting,Medical",Independent,"Current Probation,Jail","Caring for 1,1 in kincare",,Important,Heterosexual,Male,Female,34.3527,-82.9331
Jennifer Ritz,Jennifer,Ritz,2909 Blue Ridge Dr,Blue Ridge,Georgia,30513,1,8/22/1993,28,,Spiritual,Inclusive,Irresponsibly,Regularly,None,,Home,None,Reserved,Extraverted,Self_Reliant,Reconcile,"GED completed,Vocational/trade school applying",,"Job,Parenting,Holidays",Friend/Family,"Jail,Arrested",None,,None,Bisexual,Other,Male,34.8655,-84.3253
Jerald Crystal,Jerald,Crystal,117 N Irwin Ave,Ocilla,Georgia,31774,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.5986,-83.25
Jeremy Parker,Jeremy,Parker,710 E Washington Ave,Ashburn,Georgia,31714,11,2/25/1993,28,White,Spiritual,Inclusive,Responsibly,None,None,,Read/Walk,None,Adventurous,Extraverted,Self_Reliant,Reconcile,None,checked,Holidays,Program,None,None,,Important,Bisexual,Other,Female,31.7044,-83.6539
Jerry Guest,Jerry,Guest,556 W Oglethorpe Hwy,Hinesville,Georgia,31313,12,11/14/1992,29,,Other,Inclusive,Responsibly,Occasionally,None,checked,Shop,New,Friendly,Extraverted,Listen,Reconcile,GED in progress,,Social,Friend/Family,None,"Caring for 1,1 in kincare",,None,Homosexual,Other,Male,31.8325,-81.6117
Jimmie Ford,Jimmie,Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Joann Leon,Joann,Leon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Joel Hardin,Joel,Hardin,801 W Screven St,Quitman,Georgia,31643,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,30.7847,-83.5608
John Evans,John,Evans,1359 Sam Nunn Blvd,Perry,Georgia,31069,6,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.4594,-83.7325
John Fredericks,John,Fredericks,5561 Fitzgerald Hwy,Ambrose,Georgia,31512,11,8/2/1993,28,White,Buddhism,Inclusive,None,Regularly,None,checked,Shop,New,Solitary,Introverted,Advice,Withdraw,None,,"Budgeting,Parenting,Mental Health,Social,Job,Legal",College,None,"Caring for multiple,1 in kincare,Multiple in welfare",,None,Homosexual,Female,Female,31.5952,-83.013
John Johnson,John,Johnson,8560 Holcomb Bridge Rd,Alpharetta,Georgia,30022,14,9/19/1992,29,,Spiritual,Inclusive,None,Addicted,"Regular marijuana,Occasional cigarettes,Regular vape",checked,Home,Pampered,Solitary,Introverted,Advice,React,"HS diploma completed,College degree",,"Budgeting,Job,Medical,Legal,Holidays,Mental Health,Resources,Social",Program,None,None,,Important,Bisexual,Male,Male,34.0733,-84.2811
John Kellar,John,Kellar,6655 James B Rivers Memorial Dr,Stone Mountain,Georgia,30083,14,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.8053,-84.1714
John Mauck,John,Mauck,109 Traveler's Way,Port Wentworth,Georgia,31407,12,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.1644,-81.18
John Pemberton,John,Pemberton,834 Gordon St,Jefferson,Georgia,30549,5,9/27/1992,29,White,Christianity,Exclusive,Irresponsibly,Addicted,None,,Home,Pampered,Solitary,Introverted,Advice,Reconcile,HS diploma completed,,"Job,Resources,Legal",Homeless,None,None,,Difficult,Homosexual,Other,Female,34.1175,-83.5734
John Pemberton,John,Pemberton,128 Old Jesup Rd,Brunswick,Georgia,31520,12,6/28/1993,28,Black/African American,Other,Unimportant,Addicted,Regularly,None,checked,Home,Event,Adventurous,Extraverted,Self_Reliant,Process,"HS diploma completed,Vocational/trade school applying",,"Mental Health,Job,Holidays,Parenting,Social,Medical",Program,None,None,,Difficult,Homosexual,Female,Other,31.169,-81.5025
John Tejada,John,Tejada,2965 Turner Hill Rd,Lithonia,Georgia,30038,14,1/20/1993,29,,Hinduism,Exclusive,Addicted,Regularly,"Occasional marijuana,Regular cigarettes",,Home,New,Reserved,Introverted,Self_Reliant,React,GED in progress,,"Social,Mental Health,Legal",Independent,None,None,,Difficult,Heterosexual,Male,Other,33.7121,-84.1058
Johnny Schneider,Johnny,Schneider,3130 Piedmont Rd NE,Atlanta,Georgia,30305,14,12/14/1992,29,Mixed Race,Christianity,Inclusive,Occasionally,Regularly,None,,Read/Walk,Event,Friendly,Both,Listen,Withdraw,GED completed,,Medical,Homeless,None,None,,Difficult,Heterosexual,Female,Male,33.7485,-84.3915
Jonathan King,Jonathan,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Jong Thomas,Jong,Thomas,1252 Monteith Rd,Port Wentworth,Georgia,31407,12,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.1644,-81.18
Joseph Brown,Joseph,Brown,4763 Atlanta Hwy #390,Loganville,Georgia,30052,5,10/8/1992,29,,None,Inclusive,Addicted,Occasionally,Occasional marijuana,checked,Read/Walk,Nature,Reserved,Both,Self_Reliant,Reconcile,HS diploma in progress,,"Social,Parenting",Couch_Hopping,None,None,,Difficult,Bisexual,Other,Other,33.8389,-83.8981
Joseph Dillard,Joseph,Dillard,1208 US_82 W,Tifton,Georgia,31794,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.4633,-83.51
Joseph Moore,Joseph,Moore,1175 E Cherry St,Jesup,Georgia,31546,9,1/5/1993,29,Unknown,Judaism,Inclusive,Responsibly,Occasionally,"Regular marijuana,Regular cigarettes",checked,Home,Pampered,Reserved,Extraverted,Advice,Process,GED completed,,"Job,Legal,Holidays,Parenting,Budgeting,Resources",Friend/Family,None,None,,Important,Heterosexual,Male,Other,31.6019,-81.885
Joseph Thompson,Joseph,Thompson,456 Bourne Ave,Port Wentworth,Georgia,31408,12,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.1644,-81.18
Joshua Cooper,Joshua,Cooper,223 Turner McCall Blvd,Rome,Georgia,30165,3,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.2605,-85.1806
Joyce Oliveira,Joyce,Oliveira,Bldg 5060,Kings Bay Base,Georgia,31547,12,8/31/1993,28,Unknown,Islam,Exclusive,None,None,Regular marijuana,checked,Friends/Family,Pampered,Shy,Extraverted,Self_Reliant,React,GED in progress,,"Social,Legal,Medical,Budgeting",College,"Current Probation,Arrested,Jail",None,,None,Homosexual,Female,Other,30.8066,-81.5666
Juan Martin,Juan,Martin,6103 Joe Frank Harris Pkwy NW,Adairsville,Georgia,30103,3,8/31/1993,28,,Christianity,Inclusive,Responsibly,Regularly,None,,Friends/Family,Nature,Shy,Introverted,Listen,Withdraw,GED completed,,"Legal,Job,Budgeting,Holidays,Parenting,Medical,Mental Health",College,None,None,,Difficult,Homosexual,Female,Male,34.3698,-84.9277
Julie Jackson,Julie,Jackson,4279 Roswell Rd NE #103,Atlanta,Georgia,30342,14,6/9/1993,28,,Spiritual,Inclusive,Occasionally,Regularly,None,checked,Friends/Family,New,Solitary,Introverted,Self_Reliant,React,"GED completed,Vocational/trade school applying",,Social,Homeless,Jail,"Caring for 1,1 in kincare,1 in welfare",,Important,Heterosexual,Male,Other,33.7485,-84.3915
Julie Nichol,Julie,Nichol,4719 Lower Roswell Rd #110,Marietta,Georgia,30068,13,9/12/1992,29,,None,Exclusive,Occasionally,Regularly,"Regular marijuana,Regular cigarettes",checked,Movie/Play,New,Friendly,Extraverted,Listen,Process,"HS diploma completed,College applying",,"Medical,Resources,Mental Health,Parenting,Social,Holidays",Independent,None,None,,Difficult,Homosexual,Female,Other,33.9523,-84.5491
June Nordstrom,June,Nordstrom,1369 GA_40 E,Kingsland,Georgia,31548,12,12/10/1992,29,Black/African American,Christianity,Inclusive,Addicted,None,Regular marijuana,checked,Home,Nature,Solitary,Extraverted,Listen,Withdraw,HS diploma in progress,,"Budgeting,Resources",Program,None,None,,None,Homosexual,Other,Male,30.7947,-81.6717
Karen Benson,Karen,Benson,2805 Main St,East Point,Georgia,30344,14,6/6/1993,28,Black/African American,Spiritual,Exclusive,Responsibly,Occasionally,None,,Shop,New,Solitary,Extraverted,Self_Reliant,Process,"HS diploma completed,Vocational/trade school applying",,"Budgeting,Social,Job,Mental Health",Couch_Hopping,None,None,,Important,Homosexual,Male,Female,33.6761,-84.4514
Karen Kelly,Karen,Kelly,119 Old River Rd,Uvalda,Georgia,30473,9,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.0378,-82.5089
Kathleen Tate,Kathleen,Tate,308 8th St,Vienna,Georgia,31092,8,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.0915,-83.7963
Kathrine Matos,Kathrine,Matos,6110 Cedarcrest Rd Suite 110,Acworth,Georgia,30101,13,5/7/1993,28,Black/African American,None,Unimportant,Irresponsibly,Regularly,"Occasional marijuana,Occasional cigarettes",checked,Read/Walk,New,Adventurous,Introverted,Advice,React,"GED completed,College degree",,Resources,Independent,None,None,,Difficult,Bisexual,Female,Male,34.0628,-84.67
Kathy Tate,Kathy,Tate,112 W Shotwell St,Bainbridge,Georgia,39819,10,1/8/1993,29,Black/African American,None,Inclusive,Occasionally,Occasionally,None,,Shop,Pampered,Friendly,Extraverted,Advice,Withdraw,"HS diploma completed,Vocational/trade school attending",,"Medical,Resources,Social,Mental Health,Parenting,Holidays",Couch_Hopping,None,None,,Difficult,Heterosexual,Male,Male,30.9052,-84.5756
Kelly Garcia,Kelly,Garcia,1295 W Spring St Ste. 100,Smyrna,Georgia,30080,13,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.8802,-84.5126
Kenneth Bass,Kenneth,Bass,1525 E Union St,Vienna,Georgia,31092,8,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.0915,-83.7963
Kenneth Combs,Kenneth,Combs,1201_4 W 4th St,Adel,Georgia,31620,11,10/20/1992,29,Black/African American,Hinduism,Inclusive,Occasionally,None,Occasional marijuana,checked,Home,New,Friendly,Extraverted,Advice,Process,"HS diploma completed,College degree",,"Parenting,Job,Budgeting,Medical,Holidays",Homeless,None,None,,Difficult,Homosexual,Male,Male,31.1383,-83.4258
Kenneth Peay,Kenneth,Peay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Kevin Gibson,Kevin,Gibson,6566 Hwy 53,Dawsonville,Georgia,30534,2,12/26/1992,29,,Other,Inclusive,None,Occasionally,"Occasional marijuana,Regular cigarettes",checked,Read/Walk,Nature,Friendly,Introverted,Advice,React,None,,"Social,Parenting",Friend/Family,Arrested,None,,None,Heterosexual,Male,Female,34.4167,-84.1167
Kevin Reed,Kevin,Reed,304 W Oglethorpe Hwy,Hinesville,Georgia,31313,12,4/13/1993,28,,Other,Inclusive,Addicted,None,None,,Movie/Play,Pampered,Friendly,Both,Advice,Reconcile,"GED completed,College degree",,"Resources,Budgeting,Holidays,Parenting,Job,Mental Health,Legal",Couch_Hopping,Current Probation,None,,None,Heterosexual,Male,Male,31.8325,-81.6117
Kevin Tiedemann,Kevin,Tiedemann,101 S Irwin Ave,Ocilla,Georgia,31774,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.5986,-83.25
Kimberly Davis,Kimberly,Davis,7274 Fielder Rd,Jonesboro,Georgia,30236,13,2/25/1993,28,Black/African American,Christianity,Inclusive,Irresponsibly,Occasionally,"Occasional marijuana,Occasional cigarettes",,Home,Nature,Friendly,Extraverted,Listen,Reconcile,"GED completed,Vocational/trade school attending",,"Budgeting,Parenting,Legal,Mental Health",College,"Jail,Current Probation","Caring for multiple,1 in kincare,1 in welfare",,Difficult,Homosexual,Other,Female,33.5244,-84.3542
Kristen Briley,Kristen,Briley,4400 Brownsville Rd Suite 102,Powder Springs,Georgia,30127,13,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.8658,-84.6803
Kristine Potts,Kristine,Potts,6469 Battlefield Pkwy,Ringgold,Georgia,30736,1,,,,,,,,,,,,,,,,,,,,,,,,,,Female,34.9157,-85.1094
Lahoma Cupples,Lahoma,Cupples,905 Market Pl Blvd Ste B,Cumming,Georgia,30041,2,6/15/1993,28,Black/African American,Spiritual,Inclusive,Irresponsibly,Occasionally,None,checked,Friends/Family,Event,Reserved,Introverted,Advice,Withdraw,"HS diploma in progress,Vocational/trade school attending",,"Holidays,Job,Parenting,Legal,Resources",Couch_Hopping,Arrested,None,,Important,Bisexual,Female,Female,34.2083,-84.1375
Lance Sanders,Lance,Sanders,3600 Piedmont Rd NE,Atlanta,Georgia,30305,14,2/3/1993,28,,Hinduism,Exclusive,Addicted,Occasionally,"Regular marijuana,Occasional cigarettes",,Shop,None,Friendly,Introverted,Advice,React,"GED completed,Vocational/trade school attending",,Resources,Friend/Family,"Current Probation,Arrested",None,,Important,Heterosexual,Male,Male,33.7485,-84.3915
Laura Cox,Laura,Cox,4230 Lawrenceville Hwy,Lilburn,Georgia,30047,13,1/5/1993,29,,Other,Unimportant,None,None,"Regular marijuana,Occasional cigarettes",,Friends/Family,Nature,Solitary,Introverted,Advice,Process,GED completed,,"Medical,Mental Health,Resources",Independent,None,None,,Important,Homosexual,Male,Other,33.8889,-84.1408
Laura Diaz,Laura,Diaz,3399 US_76,Hiawassee,Georgia,30546,2,5/7/1993,28,Unknown,Spiritual,Exclusive,Addicted,Regularly,Regular marijuana,checked,Home,Pampered,Solitary,Introverted,Advice,Process,"GED in progress,College applying",,"Resources,Parenting,Legal,Mental Health,Social",Independent,None,"Caring for multiple,Multiple in kincare,1 in welfare",,Important,Homosexual,Other,Male,34.9494,-83.755
Laura Milligan,Laura,Milligan,1375 Riverstone Pkwy,Canton,Georgia,30114,1,10/11/1992,29,Black/African American,None,Unimportant,Addicted,Regularly,None,checked,Movie/Play,Nature,Solitary,Extraverted,Self_Reliant,Process,None,,"Budgeting,Mental Health,Job",Couch_Hopping,"Current Probation,Jail",None,,None,Heterosexual,Other,Male,34.2272,-84.4947
Leann Retherford,Leann,Retherford,405 Peachtree Pkwy Suite 100,Cumming,Georgia,30041,2,5/2/1993,28,,Islam,Exclusive,None,Addicted,"Regular marijuana,Occasional cigarettes,Regular vape",,Movie/Play,None,Adventurous,Both,Listen,React,"GED completed,College attending",,"Parenting,Holidays,Budgeting,Job,Social",Independent,None,None,,None,Bisexual,Other,Other,34.2083,-84.1375
Leanna Stanley,Leanna,Stanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Leslie Pierce,Leslie,Pierce,1300 W Screven St,Quitman,Georgia,31643,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,30.7847,-83.5608
Lila Rivera,Lila,Rivera,559 Riverstone Pkwy Suite 100,Canton,Georgia,30114,1,10/9/1992,29,,Judaism,Exclusive,Irresponsibly,None,"Regular marijuana,Regular cigarettes,Occasional vape",,Movie/Play,Pampered,Reserved,Introverted,Listen,React,"HS diploma in progress,Vocational/trade school certified",,Budgeting,Friend/Family,Jail,None,,Difficult,Heterosexual,Male,Other,34.2272,-84.4947
Linda Brown,Linda,Brown,67 Roberts Way,Blue Ridge,Georgia,30513,1,5/31/1993,28,Hispanic/Latino (non_white),None,Inclusive,Addicted,Regularly,Occasional marijuana,checked,Movie/Play,Event,Shy,Introverted,Self_Reliant,Reconcile,None,checked,"Resources,Parenting,Medical,Holidays,Budgeting",Friend/Family,None,"Caring for 1,1 in kincare",,Important,Homosexual,Female,Female,34.8655,-84.3253
Linda Cook,Linda,Cook,113 E Union St,Vienna,Georgia,31092,8,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.0915,-83.7963
Linda Hedman,Linda,Hedman,713 N Davis St,Nashville,Georgia,31639,11,,,,,,,,,,,,,,,,,,,,,,,,,,Female,31.2069,-83.2467
Linda McManus,Linda,McManus,103 S Hutchinson Ave,Adel,Georgia,31620,11,10/1/1992,29,White,Other,Exclusive,Addicted,Occasionally,None,,Home,Pampered,Solitary,Both,Self_Reliant,Withdraw,"HS diploma in progress,College degree",,"Job,Budgeting,Holidays,Legal,Medical",Independent,None,None,,Difficult,Heterosexual,Female,Male,31.1383,-83.4258
